benchmark,suite,tier,cyclomatic,loops,branches
trisolv,polybench,Low,7,5,1
gesummv,polybench,Low,7,5,1
jacobi-1d,polybench,Low,7,5,1
durbin,polybench,Low,8,6,1
seidel-2d,polybench,Low,9,7,1
atax,polybench,Low,10,8,1
trmm,polybench,Low,10,8,1
floyd-warshall,polybench,Low,10,7,2
bicg,polybench,Low,11,8,2
jacobi-2d,polybench,Low,11,9,1
gemm,polybench,Medium,14,12,1
correlation,polybench,Medium,15,13,1
doitgen,polybench,Medium,15,13,1
nussinov,polybench,Medium,14,8,5
heat-3d,polybench,Medium,15,13,1
2mm,polybench,Medium,18,16,1
fdtd-2d,polybench,Medium,21,17,3
concom,bots,Medium,24,9,14
nqueens,bots,High,31,11,19
sort,bots,High,44,12,31
strassen,bots,High,50,29,20
health,bots,High,58,22,35
floorplan,bots,High,58,20,37
sparselu,bots,High,64,34,29
fft,bots,High,108,38,69
alignment,bots,High,112,47,64
3mm,polybench,Medium,16,14,1
adi,polybench,Medium,17,15,2
cholesky,polybench,Medium,16,12,3
covariance,polybench,Medium,18,15,2
deriche,polybench,Medium,17,14,3
fib,bots,High,32,5,8
gemver,polybench,Low,12,9,1
gramschmidt,polybench,Medium,18,14,3
ludcmp,polybench,Medium,21,15,4
lu,polybench,Medium,16,13,3
mvt,polybench,Low,11,8,2
symm,polybench,Medium,14,11,2
syr2k,polybench,Medium,15,12,1
syrk,polybench,Low,12,10,1
uts,bots,High,38,8,18
knapsack,bots,Medium,22,7,11
