config_id,lambda_mse,lambda_ns,lr,hidden_dim,r2,picp_95,mpiw_95,ece,val_loss
hp_001,1.0,0.1,0.0005,64,0.6234,0.612,0.402,0.451,0.823
hp_002,1.0,0.1,0.0005,128,0.6312,0.631,0.395,0.444,0.806
hp_003,1.0,0.1,0.001,64,0.6403,0.638,0.388,0.437,0.789
hp_004,1.0,0.1,0.001,128,0.6491,0.652,0.382,0.432,0.776
hp_005,1.0,0.01,0.0005,64,0.6712,0.687,0.371,0.418,0.741
hp_006,1.0,0.01,0.0005,128,0.6834,0.701,0.365,0.412,0.728
hp_007,1.0,0.01,0.001,64,0.6912,0.713,0.359,0.407,0.715
hp_008,1.0,0.01,0.001,128,0.7023,0.726,0.354,0.402,0.703
hp_009,1.0,0.001,0.0005,64,0.7156,0.741,0.349,0.398,0.690
hp_010,1.0,0.001,0.0005,128,0.7234,0.753,0.344,0.393,0.682
hp_011,1.0,0.001,0.001,64,0.7301,0.764,0.341,0.391,0.673
hp_012,1.0,0.001,0.001,128,0.7378,0.774,0.337,0.388,0.665
hp_013,5.0,0.1,0.0005,64,0.6421,0.629,0.391,0.443,0.802
hp_014,5.0,0.1,0.0005,128,0.6512,0.645,0.385,0.438,0.787
hp_015,5.0,0.1,0.001,64,0.6589,0.658,0.380,0.434,0.774
hp_016,5.0,0.1,0.001,128,0.6678,0.672,0.376,0.430,0.762
hp_017,5.0,0.01,0.0005,64,0.7012,0.721,0.357,0.405,0.708
hp_018,5.0,0.01,0.0005,128,0.7134,0.738,0.351,0.401,0.692
hp_019,5.0,0.01,0.001,64,0.7223,0.751,0.347,0.397,0.681
hp_020,5.0,0.01,0.001,128,0.7312,0.764,0.343,0.394,0.671
hp_021,5.0,0.001,0.0005,64,0.7501,0.789,0.331,0.385,0.642
hp_022,5.0,0.001,0.0005,128,0.7612,0.812,0.326,0.381,0.628
hp_023,5.0,0.001,0.001,64,0.7689,0.831,0.322,0.378,0.617
hp_024,5.0,0.001,0.001,128,0.7754,0.847,0.319,0.376,0.609
hp_025,10.0,0.1,0.0005,64,0.6612,0.671,0.378,0.431,0.768
hp_026,10.0,0.1,0.0005,128,0.6712,0.689,0.372,0.426,0.751
hp_027,10.0,0.1,0.001,64,0.6789,0.703,0.367,0.422,0.738
hp_028,10.0,0.1,0.001,128,0.6889,0.718,0.362,0.418,0.725
hp_029,10.0,0.01,0.0005,64,0.7234,0.762,0.342,0.392,0.673
hp_030,10.0,0.01,0.0005,128,0.7345,0.781,0.336,0.388,0.658
hp_031,10.0,0.01,0.001,64,0.7423,0.798,0.331,0.385,0.645
hp_032,10.0,0.01,0.001,128,0.7512,0.814,0.327,0.382,0.633
hp_033,10.0,0.001,0.0005,64,0.7745,0.853,0.314,0.373,0.598
hp_034,10.0,0.001,0.0005,128,0.7867,0.881,0.309,0.369,0.581
hp_035,10.0,0.001,0.001,64,0.7912,0.897,0.305,0.367,0.572
hp_036,20.0,0.001,0.0005,128,0.8055,0.999,0.301,0.396,0.547
hp_037,20.0,0.1,0.0005,64,0.6712,0.701,0.371,0.426,0.748
hp_038,20.0,0.1,0.0005,128,0.6823,0.718,0.365,0.421,0.731
hp_039,20.0,0.1,0.001,64,0.6912,0.732,0.360,0.417,0.717
hp_040,20.0,0.1,0.001,128,0.7012,0.748,0.355,0.413,0.703
hp_041,20.0,0.01,0.0005,64,0.7423,0.812,0.334,0.388,0.638
hp_042,20.0,0.01,0.0005,128,0.7567,0.834,0.328,0.383,0.621
hp_043,20.0,0.01,0.001,64,0.7634,0.851,0.323,0.380,0.609
hp_044,20.0,0.01,0.001,128,0.7723,0.867,0.319,0.377,0.598
hp_045,20.0,0.001,0.0005,64,0.7967,0.943,0.307,0.402,0.563
hp_046,20.0,0.001,0.001,64,0.7989,0.968,0.304,0.399,0.557
hp_047,20.0,0.001,0.001,128,0.7998,0.987,0.302,0.397,0.551
hp_048,1.0,0.1,0.0001,64,0.5912,0.567,0.421,0.472,0.876
